# Temporal histogram for FROST_250x250_sipms_41_2boards.h5
# Total simulated events: 1,000,000
# Total detected photons: 113,481
# WLS-shifted photons: 112,420
#
# Columns: time_ns | wls_shifted_counts
#
0.012500	0
0.037500	0
0.062500	2
0.087500	2
0.112500	5
0.137500	4
0.162500	11
0.187500	8
0.212500	26
0.237500	26
0.262500	23
0.287500	18
0.312500	33
0.337500	37
0.362500	47
0.387500	50
0.412500	69
0.437500	66
0.462500	88
0.487500	79
0.512500	86
0.537500	97
0.562500	126
0.587500	122
0.612500	119
0.637500	148
0.662500	153
0.687500	168
0.712500	156
0.737500	219
0.762500	176
0.787500	213
0.812500	205
0.837500	178
0.862500	257
0.887500	250
0.912500	252
0.937500	253
0.962500	254
0.987500	272
1.012500	287
1.037500	330
1.062500	308
1.087500	348
1.112500	356
1.137500	348
1.162500	363
1.187500	373
1.212500	390
1.237500	369
1.262500	377
1.287500	421
1.312500	409
1.337500	403
1.362500	436
1.387500	447
1.412500	426
1.437500	441
1.462500	507
1.487500	466
1.512500	477
1.537500	537
1.562500	499
1.587500	522
1.612500	577
1.637500	545
1.662500	515
1.687500	533
1.712500	568
1.737500	531
1.762500	553
1.787500	581
1.812500	573
1.837500	557
1.862500	604
1.887500	630
1.912500	601
1.937500	586
1.962500	593
1.987500	625
2.012500	642
2.037500	646
2.062500	617
2.087500	609
2.112500	622
2.137500	691
2.162500	642
2.187500	630
2.212500	705
2.237500	670
2.262500	638
2.287500	636
2.312500	641
2.337500	656
2.362500	660
2.387500	670
2.412500	660
2.437500	644
2.462500	638
2.487500	644
2.512500	650
2.537500	620
2.562500	678
2.587500	614
2.612500	644
2.637500	612
2.662500	635
2.687500	675
2.712500	616
2.737500	633
2.762500	664
2.787500	621
2.812500	635
2.837500	627
2.862500	609
2.887500	681
2.912500	608
2.937500	649
2.962500	644
2.987500	607
3.012500	596
3.037500	566
3.062500	593
3.087500	573
3.112500	570
3.137500	553
3.162500	621
3.187500	551
3.212500	608
3.237500	594
3.262500	569
3.287500	537
3.312500	592
3.337500	545
3.362500	534
3.387500	551
3.412500	584
3.437500	533
3.462500	588
3.487500	580
3.512500	550
3.537500	518
3.562500	502
